location,PopMi2
Afghanistan,60.1
Albania,100.1
Algeria,18.4
Andorra,165.1
Angola,26.4
Anguilla,147.1
Antigua and Barbuda,221.1
Argentina,16.3
Armenia,99.4
Aruba,553.2
Australia,3.3
Austria,107.4
Azerbaijan,117.1
Bahamas,28.2
Bahrain,2558.8
Bangladesh,1143.7
Barbados,666.8
Belarus,45.5
Belgium,379.6
Belize,17.3
Benin,107.6
Bermuda,1175.0
Bhutan,16.4
Bolivia,10.6
Bonaire Sint Eustatius and Saba,206.5
Bosnia and Herzegovina,64.2
Botswana,3.9
Brazil,25.0
British Virgin Islands,197.6
Brunei,75.8
Bulgaria,62.6
Burkina Faso,76.2
Burundi,427.3
Cambodia,92.3
Cameroon,55.8
Canada,3.8
Cape Verde,137.9
Cayman Islands,250.8
Central African Republic,7.8
Chad,12.8
Chile,25.3
China,150.0
Colombia,44.7
Comoros,400.7
Congo,16.1
Costa Rica,99.7
Cote d'Ivoire,81.8
Croatia,72.6
Cuba,102.2
Curacao,959.6
Cyprus,94.7
Czech Republic,135.8
Democratic Republic of Congo,38.2
Denmark,134.4
Djibouti,43.0
Dominica,95.5
Dominican Republic,222.6
Ecuador,62.2
Egypt,102.2
El Salvador,308.3
Equatorial Guinea,50.0
Eritrea,29.2
Estonia,29.3
Ethiopia,102.0
Faeroe Islands,34.9
Falkland Islands,0.7
Fiji,49.1
Finland,16.4
France,119.3
French Polynesia,67.4
Gabon,8.3
Gambia,213.9
Georgia,57.2
Germany,234.7
Ghana,129.8
Gibraltar,4813.0
Greece,79.0
Greenland,0.0
Grenada,327.1
Guam,312.0
Guatemala,164.5
Guernsey,859.6
Guinea,53.4
Guinea-Bissau,54.5
Guyana,3.7
Haiti,410.9
Honduras,88.4
Hungary,103.8
Iceland,3.3
India,419.8
Indonesia,142.5
Iran,51.0
Iraq,92.0
Ireland,70.3
Isle of Man,148.7
Israel,416.7
Italy,200.7
Jamaica,269.4
Japan,334.7
Jersey,871.3
Jordan,110.5
Kazakhstan,6.9
Kenya,92.3
Kosovo,459.7
Kuwait,239.6
Kyrgyzstan,32.9
Laos,30.7
Latvia,29.2
Lebanon,656.3
Lesotho,70.6
Liberia,45.4
Libya,3.9
Liechtenstein,238.4
Lithuania,41.8
Luxembourg,242.1
Macedonia,82.2
Madagascar,47.2
Malawi,161.5
Malaysia,98.2
Maldives,1801.8
Mali,16.3
Malta,1397.3
Mauritania,4.5
Mauritius,623.4
Mexico,65.4
Moldova,119.2
Monaco,19622.0
Mongolia,2.1
Montenegro,117.8
Montserrat,49.0
Morocco,82.7
Mozambique,39.0
Myanmar,80.2
Namibia,3.1
Nepal,198.0
Netherlands,412.6
New Caledonia,15.0
New Zealand,17.9
Nicaragua,51.2
Niger,19.1
Nigeria,223.2
Northern Mariana Islands,120.7
Norway,16.7
Oman,24.0
Pakistan,274.8
Palestine,2123.8
Panama,55.2
Papua New Guinea,19.3
Paraguay,17.5
Peru,25.7
Philippines,365.3
Poland,121.0
Portugal,110.4
Puerto Rico,207.5
Qatar,251.9
Romania,81.0
Russia,8.5
Rwanda,491.8
Saint Kitts and Nevis,203.8
Saint Lucia,298.1
Saint Vincent and the Grenadines,285.2
San Marino,556.4
Sao Tome and Principe,218.9
Saudi Arabia,17.8
Senegal,85.3
Serbia,77.0
Seychelles,216.1
Sierra Leone,111.2
Singapore,8442.1
Sint Maarten (Dutch part),1261.2
Slovakia,111.8
Slovenia,102.5
Somalia,24.9
South Africa,48.6
South Korea,520.6
South Sudan,4.5
Spain,92.6
Sri Lanka,326.4
Sudan,60.2
Suriname,3.6
Swaziland,66.8
Sweden,22.4
Switzerland,209.6
Syria,94.5
Taiwan,661.9
Tajikistan,66.7
Tanzania,63.2
Thailand,135.8
Timor,87.9
Togo,145.8
Trinidad and Tobago,272.9
Tunisia,72.2
Turkey,108.0
Turks and Caicos Islands,90.0
Uganda,193.8
Ukraine,72.4
United Arab Emirates,119.3
United Kingdom,277.3
United States,34.4
United States Virgin Islands,54.7
Uruguay,19.7
Uzbekistan,74.8
Vatican,4045.0
Venezuela,31.2
Vietnam,295.4
Yemen,56.5
Zambia,24.4
Zimbabwe,38.1
